age_group,country,sleep_duration_problem,sleep_difficulty,sleep_hours,anxiety_frequency,anxiety_level,diagnosed_anxiety,caffeine_intake,screen_time_before_bed,exercise_frequency,diet_quality,sleep_solutions_tried,most_effective_solution,solution_effectiveness,trust_level,side_effects,side_effect_description,biggest_sleep_challenge,trust_reason
Under 18,India,6–12 months,Difficulty falling asleep;Poor sleep quality;Frequent nightmares,4–5,5,9,Prefer not to say,1,30–60 minutes,1–2 times per week,Mixed,Meditation;Herbal Tea;Reading Before Bed;Breathing Exercises;Weighted Blanket,Reading Before Bed,7,7,No,,Trying to fell into sleep ,Nothing 
18–24,India,Less than 6 months,Waking up too early,7–8,1,1,No,1,30–60 minutes,5 or more times per week,Mixed,Other,Other,1,1,No,,,
18–24,India,More than 5 years,Difficulty falling asleep;Difficulty staying asleep;Waking up too early;Poor sleep quality;Frequent nightmares,Less than 4,5,10,Yes,5+,More than 2 hours,5 or more times per week,Frequently processed/junk food,Melatonin;Meditation;White Noise;Sleep Mask;Herbal Tea;Reading Before Bed;Breathing Exercises;Weighted Blanket;Sleep Apps;Other,Herbal Tea,10,10,"Yes, severe",Anxiety ,,
18–24,India,6–12 months,Difficulty falling asleep;Waking up too early;Poor sleep quality;Frequent nightmares,4–5,3,7,No,1,More than 2 hours,5 or more times per week,Balanced,White Noise;Reading Before Bed;Breathing Exercises;Weighted Blanket;Sleep Apps,Weighted Blanket,5,1,No,,Carrer tension ,
Under 18,India,More than 5 years,Difficulty falling asleep;Frequent nightmares,Less than 4,3,7,No,1,More than 2 hours,5 or more times per week,Mixed,Other,Other,4,1,No,No,Not falling into sleep,Nothing
45–54,India,More than 5 years,Difficulty falling asleep,6–7,1,3,Yes,2,1–2 hours,Never,Balanced,Reading Before Bed;Sleep Apps;Other,Reading Before Bed,5,4,"Yes, mild",Lack of concentration ,Concentration ,Nothing 
25–34,India,1–3 years,Waking up too early;Poor sleep quality,6–7,2,3,No,2,Less than 30 minutes,5 or more times per week,Balanced,Other,Other,1,1,No,,Sleep quality,Not proved to be effective
18–24,India,Less than 6 months,Waking up too early,More than 8,1,3,No,2,More than 2 hours,Never,Frequently processed/junk food,White Noise,White Noise,5,10,No,,Prolonged hours of sleep ,Everything makes me trust everything 
Under 18,India,Less than 6 months,Difficulty falling asleep,6–7,1,1,No,2,1–2 hours,1–2 times per week,Mixed,Breathing Exercises,Breathing Exercises,4,4,No,,,
35–44,India,More than 5 years,Difficulty falling asleep;Waking up too early,6–7,3,3,No,2,Less than 30 minutes,Never,Mixed,Other,Other,1,1,No,,Multiple thoughts ,Distrust 
45–54,India,3–5 years,Difficulty falling asleep,4–5,3,6,Prefer not to say,2,Less than 30 minutes,Never,Mixed,Other,Other,3,3,No,,Watch movies,Nothing
18–24,India,Less than 6 months,Poor sleep quality,7–8,1,7,No,0,More than 2 hours,5 or more times per week,Balanced,Reading Before Bed,Reading Before Bed,5,4,No,,Sleeping ,Don't know 
25–34,India,Less than 6 months,Difficulty falling asleep;Poor sleep quality,6–7,3,6,No,2,30–60 minutes,Never,Mixed,Weighted Blanket,Weighted Blanket,8,7,No,,"Following the same pattern for a longer time, it is ok when I do it for a short period, but may not continue for a longer time ",I prefer sleep apps or any other methods rather than pills or medication. Nature heals the best 
18–24,India,1–3 years,Difficulty falling asleep;Poor sleep quality,6–7,2,4,No,3–4,More than 2 hours,3–4 times per week,Mixed,Sleep Mask,Sleep Mask,1,1,No,,Nothing worked out . So I gave up ,8 hours of quality sleep will definitely bring a change in lifestyle! So I'm eagerly trying for it
45–54,India,More than 5 years,Difficulty falling asleep,6–7,3,5,No,3–4,30–60 minutes,3–4 times per week,Mixed,Melatonin;Sleep Mask;Breathing Exercises,Breathing Exercises,6,6,"Yes, mild",Drowsy in day time ,Trouble falling asleep ,Poor knowledge of sleep problem 
18–24,India,Less than 6 months,Difficulty falling asleep;Difficulty staying asleep;Poor sleep quality,6–7,4,8,Prefer not to say,0,30–60 minutes,3–4 times per week,Mostly healthy,Melatonin;Meditation;White Noise;Sleep Mask;Breathing Exercises,Melatonin,6,7,"Yes, mild",-,sleeping,sleep
35–44,India,6–12 months,Difficulty falling asleep;Poor sleep quality,6–7,4,8,Prefer not to say,3–4,More than 2 hours,1–2 times per week,Balanced,Reading Before Bed,Reading Before Bed,7,4,No,, Screen Usage,"Unregulated Supplements, Dependence on External Aids. "
25–34,India,1–3 years,Difficulty falling asleep,4–5,5,5,No,2,Less than 30 minutes,3–4 times per week,Mixed,Other,Other,3,3,No,,,"Before bed, bathing will makes me relaxed a little to get sleep"
18–24,India,Less than 6 months,Frequent nightmares,More than 8,5,8,No,2,More than 2 hours,3–4 times per week,Balanced,Weighted Blanket,Weighted Blanket,10,8,No,No,Something uneasy ,Counting numbers
18–24,India,Less than 6 months,Poor sleep quality,7–8,2,5,No,0,1–2 hours,5 or more times per week,Mixed,Weighted Blanket;Other,Weighted Blanket,6,4,No,,,
18–24,India,Less than 6 months,Poor sleep quality,6–7,2,2,No,2,More than 2 hours,Never,Mixed,Sleep Mask,Sleep Mask,3,5,No,,,
18–24,India,More than 5 years,Poor sleep quality,More than 8,3,9,Yes,2,1–2 hours,1–2 times per week,Mixed,Breathing Exercises,Other,3,3,"Yes, mild",Disturbed mood and anxiety ,Powercut ,Mobile usage
